00050,19.750
00100,19.750
00150,19.750
00200,19.750
00250,19.750
00300,19.750
00350,19.750
00400,19.750
00450,19.750
00500,19.750
00550,19.750
00600,19.750
00650,19.750
00700,19.750
00750,19.750
00800,19.750
00850,19.750
00900,19.750
00950,19.750
01000,19.750
00050,19.750
00100,19.750
00150,19.750
00200,19.750
00250,19.750
00300,19.750
00350,19.750
00400,19.750
00450,19.750
00500,19.750
00550,19.750
00600,19.750
00650,19.750
00700,19.750
00750,19.750
00800,19.750
00850,19.750
00900,19.750
00950,19.750
01000,19.750
00050,-2048.219
00100,-2048.219
00150,-2048.219
00200,-2048.219
00250,-2048.219
00300,-2048.219
00350,-2048.219
00400,-2048.219
00450,-2048.219
00500,-2048.219
00550,-2048.219
00600,-2048.219
00650,-2048.219
00700,-2048.219
00750,-2048.219
00800,-2048.219
00850,-2048.219
00900,-2048.219
00950,-2048.219
01000,-2048.219
00050,299.986
00100,275.192
00150,250.397
00200,225.602
00250,225.602
00300,225.602
00350,225.602
00400,250.397
00450,237.999
00500,225.602
00550,225.602
00600,225.602
00650,225.602
00700,299.986
00750,299.986
00800,299.986
00850,299.986
00900,299.986
00950,299.986
01000,299.986
00050,487.853
00100,178.328
00150,373.606
00050,478.884
00100,519.326
